Dummy	0	Empty
IDMSG_DSETUPERR_REBOOT	0x7882	You must restart your computer for the desired changes to take effect.\n\nDo you want to restart your computer now?
IDMSG_DSETUP_OK	0x7883	DirectX setup needs to restart your machine, press OK to restart now.
IDMSG_TDCHECK_ERROR	0x7884	There is no 3D hardware installed in your system.\n\nPlease see the Troubleshooting Guide for a list of \nsupported 3D video cards.
IDMSG_COLORDEPTH_ERROR	0x7885	You must be running in 256 color or higher. You can change the color depth in Display Properties and then restart the installation.
IDMSG_LIMITED_USER_ERROR	0x7889	Unable to open game folder. If you are logged on with limited privileges,\nplease log off, log back on as Administrator and try again.
IDMSG_LIMITED_USER_INST	0x7890	Unable to install game. If you are logged on with limited privileges,\nplease log off, log back on as Administrator and try again.
IDMSG_LIMITED_USER_UNINST	0x7891	Unable to uninstall game. If you are logged on with limited privileges,\nplease log off, log back on as Administrator and try again.
IDMSG_WIN95_NO_SUPPORT	0x7892	Windows 95 is not supported.\nWindows 98 or higher is required to proceed.
INST001	0x8001	Visit www.lucasarts.com
INST002	0x8002	LEC Multiplayer Home Page
INST004	0x8004	View %s Readme
INST005	0x8005	Uninstall %s
INST006	0x8006	%s Setup Question:
INST007	0x8007	%s Main Menu
INST008	0x8008	Please select an option.
INST016	0x8010	View ReadMe
INST039	0x8022	Start Menu Folder:
INST040	0x8023	Target Directory:
INST055	0x8029	Setup Complete
INST061	0x802E	Setup will now install DirectX on your computer. Please consult the Troubleshooting Guide for more information on DirectX compatibility issues.
INST062	0x802F	What is DirectX? DirectX is a combination of functions, routines, drivers, etc. that give programmers more direct access to hardware devices like the video card, sound card, joysticks/mice/keyboards, etc.
INST063	0x8030	NOTE: If you know your machine is not DirectX compatible, please uncheck the box and follow the instructions.
INST065	0x8032	 If, after running DirectX Setup, you have problems restarting, call Microsoft or your hardware vendor.
INST067	0x8034	 You may, however, reinstall DirectX if you wish (you must check the box).
INST069	0x8036	DirectX installation complete
INST071	0x8038	DirectX MAY ask you for the Win95/98 installation CD.
INST073	0x803A	Install DirectX %s now.
INST079	0x803E	Invalid path. Please make sure all back slashes "\\" are in place.
INST080	0x803F	Invalid path. Periods "." are not allowed.
INST099	0x8050	Do you want a shortcut to %s made on your desktop?
INST100	0x8051	Play %s
INST102	0x8053	 MB
INST103	0x8054	Destination directory cannot be the root of a drive.
INST106	0x8057	Manual Installation    %d MB
INST114	0x8064	Install DirectX %s
INST207	0x8072	Automatic Installation
INST208	0x8073	You have chosen the 'Automatic Installation' option to this location:\n
INST209	0x8074	\n\nDirectX may be installed and you may have to restart this machine.\n\t\t    Continue?
INST211	0x8075	Automatic\nRecommended for most computers.
INST212	0x8076	Custom\nFor advanced users and system administrators only.  You can customize all available Setup options.
INST081	0x807A	Invalid path.
ANLZ001	0xA001	System Checker
ANLZ002	0xA002	&OK
ANLZ003	0xA003	Item
ANLZ004	0xA004	RAM
ANLZ005	0xA005	O/S
ANLZ006	0xA006	CPU
ANLZ007	0xA007	CD-ROM speed
ANLZ008	0xA008	Hard drive space
ANLZ009	0xA009	DirectSound
ANLZ010	0xA00A	DirectDraw
ANLZ011	0xA00B	DirectPlay
ANLZ012	0xA00C	Direct3D
ANLZ013	0xA00D	DirectInput
ANLZ014	0xA00E	Required
ANLZ015	0xA00F	16 MB
ANLZ016	0xA010	Windows 98
ANLZ017	0xA011	Pentium 90
ANLZ018	0xA012	Windows 98
ANLZ022	0xA013	Your machine
ANLZ023	0xA014	Status
ANLZ024	0xA015	For best results, do not have any other programs running.
ANLZ025	0xA016	Determining CD-ROM speed...  Please wait...
ANLZ026	0xA017	You can install the correct DirectX drivers from the launcher.
ANLZ027	0xA018	You can install the correct DirectX drivers from the installer.
ANLZ028	0xA019	Your computer failed %d of the above %d tests.
ANLZ029	0xA01A	Your computer is qualified to play %s!
ANLZ030	0xA01B	Your computer has more disk drives than can be displayed here.
ANLZ031	0xA01C	Please refer to the troubleshooting guide for more information.
ANLZ033	0xA01E	Passed
ANLZ034	0xA01F	Failed
ANLZ035	0xA020	DirectX drivers
ANLZ036	0xA021	 MB
ANLZ037	0xA022	Windows 3.1
ANLZ038	0xA023	Windows NT
ANLZ039	0xA024	unknown
ANLZ040	0xA025	 MHz
ANLZ041	0xA026	Couldn't find the file '%s', or this program is not being run from a valid CD-ROM drive.  Please insert the %s install CD and try again.
ANLZ042	0xA027	 KB/sec
ANLZ043	0xA028	Pentium 
ANLZ044	0xA029	(Installed)
ANLZ045	0xA02A	NOTE: CPU speed represents this program's best guess.
ANLZ046	0xA02B	Please configure your video card before playing.
ANLZ047	0xA02C	Note: %s requires a 3D video card.
ANLZ048	0xA02D	&DXDIAG
ANLZ049	0xA02E	&Install DirectX %s
ANLZ050	0xA02F	Couldn't find the DirectX folder.  Please insert the %s install CD and try again.
ANLZ051	0xA030	You must first install DirectX before you can run the DirectX diagnostic program.
ANLZ052	0xA031	Display Adapter
ANLZ053	0xA032	No 3D Hardware
ANLZ054	0xA033 	3D Hardware
ANLZ055	0xA034	Primary Display Adapter
ANLZ056	0xA035	Hardware TnL
ANLZ057	0xA036	Yes
ANLZ058	0xA037	No
DIRX001	0xD02D	DirectX Setup
DIRX002	0xD02E	Unable to create the message dialog.
DIRX003	0xD02F	&Yes
DIRX004	0xD030	&No
DIRX005	0xD031	&Cancel
DIRX006	0xD032	&Ok
DIRX007	0xD033	&Retry
DIRX008	0xD034	&Abort
DIRX009	0xD035	&Ignore
DIRX010	0xD036	Starting DirectXSetup...
DIRX011	0xD037	DirectXSetup returned %d.
DIRX012	0xD038	DirectX does not support the Windows version on the system.
DIRX013	0xD039	One of the required source files could not be found.
DIRX014	0xD03A	A file's size could not be verified or was incorrect.
DIRX015	0xD03B	A file's date and time could not be verified or were incorrect.
DIRX016	0xD03C	A file's version could not be verified or was incorrect.
DIRX017	0xD03D	The setup program ran out of disk space during installation.
DIRX018	0xD03E	A required .inf file could not be found.
DIRX019	0xD03F	The setup program could not find the working directory.
DIRX020	0xD040	An internal error occurred.
DIRX021	0xD041	This version of DirectX on Windows NT has no 3D support.
DIRX022	0xD042	The operating system on your system is not currently supported.
DIRX023	0xD043	The Cancel button was pressed before the application was fully installed.
DIRX024	0xD044	The version of Windows NT on the system does not contain the current  version of DirectX. An older version of DirectX may be present, or DirectX may be absent altogether.
DIRX025	0xD045	DirectX was successfully installed on your system, you must now restart Windows for the changes to take effect. Do you wish to restart Windows?
DIRX026	0xD046	DirectX was successfully installed on your system.
DIRX027	0xD047	Please insert Disk #1 to install DirectX.
DIRX028	0xD048	Please insert CD 1.
IDBTN_LAUNCHER_START_MULTI_GAME	0xf005	Multiplayer Game
IDBTN_LAUNCHER_START_SINGLE_GAME	0xf007	Single Player Game
